Particulars,2015,2016,Particulars,,2015,2016
To Opening Stock,105400,95830,By Sale,,234294,274200
To Purchase,151007,168940,By Job Work Income,,550000,636478
To Gross Profit,623717,759868,By Closing Stock,,95830,113960
,880124,1024638,,Total Rs.,880124,1024638
To  Accounting Charges,15000,20000,By Gross Profit B/D,,623717,759868
To Business Promotion Exp.,7640,8610,By Discount,,32905,45460
To Depreciation,8452.5,7277.78,,,,
To Electricity Exp.,23410,25630,,,,
To Freight,10350,16480,,,,
To Bonus,6340,8640,,,,
To Internet Fex Charges,6310,7660,,,,
To Misc. Exp,14470,23790,,,,
To Printing & Stationary,2670,3280,,,,
To Rent,104400,124500,,,,
To Repair & Maintenance Exp.,12988,24970,,,,
To Salary,404000,473888,,,,
To Staff welfare Exp.,17490,19340,,,,
To Short & Excess,62,52.22,,,,
To Telephone Exp,8680,10460,,,,
To Conveyance Exp.,10670,14280,,,,
To Net Profit for the Year,3689.5,16470,,,,
,,,,,,
Total Rs.,656622,805328,,Total Rs.,656622,805328
